RegionName,State,Beds,6/30/2023
Baton Rouge,LA,1,105137.3721
New Orleans,LA,1,256923.3511
Wichita,KS,1,73800.14168
Cleveland,OH,1,123415.5231
Riverside,CA,1,324799.3535
Anaheim,CA,1,493872.4108
Vancouver,WA,1,292755.1086
Stockton,CA,1,216916.1153
Marietta,GA,1,222256.6092
Columbia,SC,1,113215.0521
Greensboro,NC,1,139098.1249
Fort Wayne,IN,1,84293.83598
Lexington,KY,1,149685.881
Naples,FL,1,272052.5286
Henderson,NV,1,203943.6944
Corpus Christi,TX,1,145992.5785
Saint Louis,MO,1,126978.8195
Santa Ana,CA,1,385496.1799
Durham,NC,1,234361.9971
Silver Spring,MD,1,191541.6273
Saint Paul,MN,1,173690.1209
Spokane,WA,1,251396.5194
Newark,NJ,1,286292.2604
Reno,NV,1,255531.3268
Saint Petersburg,FL,1,180991.6965
Irvine,CA,1,595385.8567
Lincoln,NE,1,208465.1835
Toledo,OH,1,47424.79164
Chandler,AZ,1,257861.2625
Tallahassee,FL,1,116760.3384
Jersey City,NJ,1,476887.9681
Plano,TX,1,243818.771
Lubbock,TX,1,99927.56228
Modesto,CA,1,246288.4738
Chula Vista,CA,1,400965.0993
Boise,ID,1,328363.1489
Richmond,VA,1,242511.6371
Winston-Salem,NC,1,115288.3695
Madison,WI,1,228493.1762
North Las Vegas,NV,1,180212.636
San Bernardino,CA,1,240873.6664
Lakeland,FL,1,141947.8482
Fort Myers,FL,1,161099.8375
Irving,TX,1,166139.9188
Mobile,AL,1,104049.9797
Glendale,AZ,1,191995.3241
Pensacola,FL,1,206177.1876
Anchorage,AK,1,157063.6662
Chesapeake,VA,1,183535.3776
Sarasota,FL,1,235997.8195
Fayetteville,NC,1,107089.1418
Birmingham,AL,1,159302.7845
Hialeah,FL,1,188177.5218
Garland,TX,1,129424.861
Kissimmee,FL,1,161157.9706
Arlington,VA,1,360137.4714
Scottsdale,AZ,1,282926.0046
Norfolk,VA,1,207473.7336
Ocala,FL,1,122164.1745
Santa Clarita,CA,1,410641.8142
Fremont,CA,1,497025.9657
Fontana,CA,1,404103.3109
Springfield,MO,1,78323.02883
Greenville,SC,1,188390.3876
Boca Raton,FL,1,160503.9537
Grand Rapids,MI,1,222057.7311
Bradenton,FL,1,148322.1243
Little Rock,AR,1,152054.8316
Gainesville,FL,1,131104.1144
Port Saint Lucie,FL,1,193180.5042
Tacoma,WA,1,336003.4755
Woodbridge,VA,1,223345.8212
Amarillo,TX,1,66851.90077
Des Moines,IA,1,128445.742
Savannah,GA,1,281145.8569
Oxnard,CA,1,495798.2361
Santa Rosa,CA,1,440828.5382
Huntsville,AL,1,137517.2654
Akron,OH,1,67522.96339
Wilmington,NC,1,246682.9129
Brownsville,TX,1,99281.7402
Yonkers,NY,1,182949.3336
Eugene,OR,1,315075.5872
Corona,CA,1,356869.7286
Dayton,OH,1,58364.28293
Syracuse,NY,1,103073.2472
Montgomery,AL,1,86740.46225
Alexandria,VA,1,289492.9637
Oceanside,CA,1,560918.497
Trenton,NJ,1,182263.7754
Shreveport,LA,1,54532.95523
Wilmington,DE,1,144755.4294
Murfreesboro,TN,1,253269.5756
West Palm Beach,FL,1,208637.599
Worcester,MA,1,224851.283
Fort Collins,CO,1,304145.8496
Salt Lake City,UT,1,338286.0408
Beaverton,OR,1,253281.4182
Salinas,CA,1,381791.7492
Sioux Falls,SD,1,143839.9022
Glendale,CA,1,507427.3506
Reading,PA,1,125737.9265
Lancaster,CA,1,240415.8144
Huntington Beach,CA,1,537781.2784
Cape Coral,FL,1,217324.3486
Lake Worth,FL,1,143896.1625
Hayward,CA,1,457989.0179
Salem,OR,1,263585.719
Clarksville,TN,1,170937.8269
Grand Prairie,TX,1,86920.00297
Charleston,SC,1,308434.6624
Aurora,IL,1,121290.5958
Peoria,AZ,1,220634.1337
Providence,RI,1,293217.4489
Whittier,CA,1,481717.3362
Overland Park,KS,1,154261.2157
Henrico,VA,1,197216.6922
Palmdale,CA,1,301449.4748
Fredericksburg,VA,1,302081.4018
Chattanooga,TN,1,270472.9728
Homestead,FL,1,239898.1961
Cumming,GA,1,296414.1369
Fort Lauderdale,FL,1,289479.587
Elk Grove,CA,1,343948.2532
Rockford,IL,1,62218.73207
Columbus,GA,1,49792.46865
Evansville,IN,1,68285.28072
Erie,PA,1,95474.09863
Edmond,OK,1,150344.9826
York,PA,1,128843.4142
Ontario,CA,1,374150.9519
Killeen,TX,1,111253.2389
Allentown,PA,1,160827.9051
Tempe,AZ,1,246354.1702
Garden Grove,CA,1,430908.3257
Escondido,CA,1,388871.5899
El Cajon,CA,1,361299.9265
Rancho Cucamonga,CA,1,341531.0201
Newport News,VA,1,129931.1841
Boynton Beach,FL,1,162126.2503
Harrisburg,PA,1,132082.2786
Roanoke,VA,1,124661.8444
Ann Arbor,MI,1,236006.1967
Everett,WA,1,304843.9799
Sugar Land,TX,1,258403.9373
Naperville,IL,1,159106.8965
Fairfax,VA,1,297338.1528
Pembroke Pines,FL,1,182864.3473
Augusta,GA,1,62145.95535
Edinburg,TX,1,85088.6964
Topeka,KS,1,56266.51253
Lakewood,CO,1,283133.7036
Pueblo,CO,1,133382.3749
Visalia,CA,1,199845.0202
Schenectady,NY,1,149308.8722
Lafayette,LA,1,100982.2832
Paterson,NJ,1,198777.9776
Clearwater,FL,1,164845.2209
Sunnyvale,CA,1,653289.8551
Kansas City,KS,1,95551.79915
Springfield,MA,1,139765.783
Lansing,MI,1,73171.23427
Las Cruces,NM,1,159634.9597
Macon,GA,1,48859.57
Hollywood,FL,1,216134.0855
Jackson,MS,1,69518.14203
Columbia,MO,1,133564.2433
Pomona,CA,1,402146.3501
Roseville,CA,1,322140.7681
South Bend,IN,1,94432.82658
Albany,NY,1,169577.4802
Bellevue,WA,1,490344.2028
Renton,WA,1,299402.8048
Pasadena,TX,1,100732.3899
Surprise,AZ,1,203661.1562
Denton,TX,1,215917.1307
Pasadena,CA,1,594998.8866
Newark,DE,1,149400.0791
Santa Maria,CA,1,341775.985
Richmond,TX,1,135247.5302
Thornton,CO,1,228217.0122
Torrance,CA,1,531269.1126
Victorville,CA,1,232080.3377
Kent,WA,1,295926.0414
Beaumont,TX,1,79856.32503
Bridgeport,CT,1,148498.7375
McAllen,TX,1,83288.45458
Manassas,VA,1,216368.2431
Yuma,AZ,1,185586.3404
Cedar Rapids,IA,1,79120.47749
Fullerton,CA,1,422080.443
Olathe,KS,1,184948.8571
Canton,OH,1,56116.88596
Myrtle Beach,SC,1,182041.1757
Frederick,MD,1,277115.1733
Warren,MI,1,157127.1442
Saint Augustine,FL,1,248300.1851
Billings,MT,1,198188.7802
Abilene,TX,1,89389.198
West Valley City,UT,1,277397.6848
Orange,CA,1,460700.2999
Metairie,LA,1,122680.7879
Decatur,GA,1,231729.1231
Kalamazoo,MI,1,121417.6658
Compton,CA,1,437017.3866
Lake Charles,LA,1,85812.33138
Hampton,VA,1,105727.4318
Miramar,FL,1,246164.0779
Concord,NC,1,154790.7515
Stamford,CT,1,240458.5666
Hemet,CA,1,220178.3475
Carrollton,TX,1,185623.237
Coral Springs,FL,1,183974.955
Sterling Heights,MI,1,103906.6806
Murrieta,CA,1,335428.2092
Inglewood,CA,1,428645.6259
Clovis,CA,1,262019.1063
Concord,CA,1,323437.1121
Melbourne,FL,1,164638.6373
Hamilton,OH,1,85840.79426
New Haven,CT,1,180872.9753
Santa Fe,NM,1,349877.5378
Gainesville,GA,1,226088.1194
Boulder,CO,1,375765.5024
Tracy,CA,1,602869.4411
Bend,OR,1,417165.337
Bloomington,IN,1,159405.8489
Lakewood,NJ,1,134669.5235
College Station,TX,1,172948.8969
Riverview,FL,1,159814.7384
Rochester,MN,1,162989.4301
Puyallup,WA,1,331448.4941
Flint,MI,1,24654.50676
Simi Valley,CA,1,416853.9192
Sparks,NV,1,262265.48
Santa Clara,CA,1,563606.3034
Saginaw,MI,1,52026.64947
Nampa,ID,1,244111.7368
Vallejo,CA,1,314422.7761
Temecula,CA,1,454716.9033
Norman,OK,1,95964.61157
Thousand Oaks,CA,1,407270.7325
Independence,MO,1,88691.89854
Joliet,IL,1,106990.8828
Richmond,CA,1,419850.138
Charlottesville,VA,1,228850.4516
Bellingham,WA,1,340049.281
Arvada,CO,1,363509.6063
Stone Mountain,GA,1,135225.9846
Athens,GA,1,222080.7726
Westminster,CO,1,268261.7594
Yakima,WA,1,172199.9776
Tuscaloosa,AL,1,139667.6082
New Port Richey,FL,1,121500.09
Elgin,IL,1,153243.3698
Chico,CA,1,250624.7057
Spartanburg,SC,1,100541.4714
Bowling Green,KY,1,112205.6326
Largo,FL,1,159697.3262
Falls Church,VA,1,249765.5421
Hartford,CT,1,99646.45354
Toms River,NJ,1,192929.6956
Vero Beach,FL,1,134946.896
Berkeley,CA,1,691437.2983
Bethlehem,PA,1,191536.5212
Gresham,OR,1,245397.0905
Palm Bay,FL,1,143203.8
Asheville,NC,1,334304.1537
East Los Angeles,CA,1,507054.5209
Delray Beach,FL,1,148285.0625
Laurel,MD,1,203645.521
Cambridge,MA,1,625980.924
Carlsbad,CA,1,603257.4174
Franklin,TN,1,335955.9078
Perris,CA,1,337327.6158
West Jordan,UT,1,391184.8875
Vista,CA,1,503361.7497
Fairfield,CA,1,297303.1596
Hillsboro,OR,1,306750.4629
Waco,TX,1,100131.0864
Richardson,TX,1,182895.6621
Lehigh Acres,FL,1,126989.3461
Manchester,NH,1,186936.7748
Lowell,MA,1,258899.6525
Costa Mesa,CA,1,703299.0072
Santa Barbara,CA,1,881334.5386
Waterbury,CT,1,92630.92761
Downey,CA,1,384071.1578
Provo,UT,1,287895.9808
Ventura,CA,1,611875.4328
Lexington,SC,1,163043.9695
Ashburn,VA,1,289506.1115
Antioch,CA,1,356337.7687
Redding,CA,1,204081.133
El Monte,CA,1,530752.6351
North Charleston,SC,1,122522.2833
West Covina,CA,1,459801.3717
Pompano Beach,FL,1,201349.3213
San Leandro,CA,1,456869.1457
Vacaville,CA,1,342020.6398
High Point,NC,1,78231.40787
Saint Charles,MO,1,161295.4843
Winter Haven,FL,1,125849.2953
Grand Junction,CO,1,215449.6926
Miami Gardens,FL,1,129244.2021
Centennial,CO,1,299194.4626
Jacksonville,NC,1,136735.2342
Menifee,CA,1,208742.6482
Hesperia,CA,1,291077.6368
Bothell,WA,1,362708.4271
San Mateo,CA,1,625114.8905
Douglasville,GA,1,196552.9226
Green Bay,WI,1,149242.3792
Lynnwood,WA,1,269072.076
Springfield,VA,1,246324.9311
Dearborn,MI,1,95482.88999
Madera,CA,1,195009.7768
Greenville,NC,1,103999.0786
Burbank,CA,1,667542.921
Baytown,TX,1,91344.17423
Davie,FL,1,184592.1895
Auburn,WA,1,294161.5167
Edison,NJ,1,227755.5809
West Chester,PA,1,268095.5373
Greeley,CO,1,270624.339
Peoria,IL,1,37083.93171
Merced,CA,1,229651.7112
Rockville,MD,1,224144.7238
Longmont,CO,1,368577.2859
Sandy Springs,GA,1,197015.0064
Gaithersburg,MD,1,192247.2525
Chapel Hill,NC,1,296133.7774
Daly City,CA,1,544518.735
Jurupa Valley,CA,1,430582.1104
Idaho Falls,ID,1,203790.4527
Rio Rancho,NM,1,164539.3068
Apopka,FL,1,128613.9632
Davenport,IA,1,82424.37704
Lithonia,GA,1,97054.82187
Jackson,MI,1,84176.05973
Brockton,MA,1,231459.7321
Wichita Falls,TX,1,54463.60689
Norwalk,CA,1,419999.6114
Parker,CO,1,828805.152
Roswell,GA,1,249373.3539
Bryan,TX,1,120670.1639
Lafayette,IN,1,128206.783
Midlothian,VA,1,200937.3576
Federal Way,WA,1,246012.9733
Elkhart,IN,1,98463.10787
Clinton,MI,1,89807.44648
Lawrence,KS,1,158987.0015
Fayetteville,AR,1,236443.7164
Gastonia,NC,1,128642.6122
Redmond,WA,1,387483.2847
Springfield,OH,1,65516.92895
Columbia,MD,1,186987.0197
Kennewick,WA,1,246089.4683
Acworth,GA,1,182214.3969
Lawton,OK,1,39685.22698
Champaign,IL,1,116152.0302
Lynchburg,VA,1,157149.704
Redwood City,CA,1,787779.2327
Carmel,IN,1,203888.9896
Medford,OR,1,250812.93
Livermore,CA,1,425904.8013
Canton,GA,1,288971.322
Tomball,TX,1,214407.546
Lees Summit,MO,1,181055.0688
Lynn,MA,1,277025.0644
Canton,MI,1,177951.0667
Santa Cruz,CA,1,769180.7783
Portsmouth,VA,1,128350.1417
Kenosha,WI,1,136337.0532
New Bedford,MA,1,227988.9652
Bowie,MD,1,258365.4666
San Marcos,CA,1,381715.7058
Napa,CA,1,620912.6467
Williamsburg,VA,1,206991.4253
Annapolis,MD,1,322802.1059
Highlands Ranch,CO,1,401560.7337
Sterling,VA,1,278834.1512
Pittsburg,CA,1,300726.9866
Chino,CA,1,390871.4419
Johnson City,TN,1,169608.8999
Mission Viejo,CA,1,433136.7756
Missoula,MT,1,343736.8607
Sunrise,FL,1,121453.2881
Hawthorne,CA,1,646814.4222
Rapid City,SD,1,171459.8606
Arden-Arcade,CA,1,231012.7919
Spokane Valley,WA,1,231706.7914
Livonia,MI,1,114844.1143
Loveland,CO,1,352880.6849
Indio,CA,1,221214.7346
Valdosta,GA,1,99791.37583
Saint George,UT,1,248869.1434
South Gate,CA,1,513774.5221
Gulfport,MS,1,108683.4757
Flagstaff,AZ,1,296790.4512
Ogden,UT,1,226182.5044
Plantation,FL,1,177220.6407
Terre Haute,IN,1,63988.26186
Holland,MI,1,244590.6886
Port Charlotte,FL,1,134238.3218
Santa Monica,CA,1,746430.0183
Bismarck,ND,1,118234.7117
Fort Pierce,FL,1,170897.7659
Manteca,CA,1,359539.4544
Florence,SC,1,75569.7843
Fall River,MA,1,230364.122
Monroe,LA,1,38010.51292
Florissant,MO,1,70018.4287
Palm Coast,FL,1,276104.3766
Albany,GA,1,49970.56602
Herndon,VA,1,270854.0013
Duluth,MN,1,171081.0129
Conyers,GA,1,144268.5138
Nashua,NH,1,222668.404
Leesburg,VA,1,275378.3345
Deltona,FL,1,161058.4747
Harlingen,TX,1,99808.77593
Greer,SC,1,147502.8101
Muncie,IN,1,53948.39275
Waukegan,IL,1,91759.99053
Bloomington,MN,1,194471.9082
Sanford,FL,1,145699.7139
Morgantown,WV,1,149710.0776
Mount Pleasant,SC,1,300408.9676
Clifton,NJ,1,282584.1963
Stafford,VA,1,319258.9132
Newton,MA,1,517718.4192
Walnut Creek,CA,1,398435.5881
Easton,PA,1,207590.6158
Quincy,MA,1,355854.625
Town 'n' Country,FL,1,165666.3234
Saint Cloud,FL,1,193763.4674
San Ramon,CA,1,489335.7215
Citrus Heights,CA,1,302553.7051
Mooresville,NC,1,219711.5005
Owensboro,KY,1,63095.94723
Brandon,FL,1,149396.9594
Victoria,TX,1,84487.94036
Charleston,WV,1,85294.77375
Troy,MI,1,149937.7136
Lawrence,MA,1,199029.4972
Sioux City,IA,1,96816.73398
Norwalk,CT,1,258777.4844
Iowa City,IA,1,187501.321
Bloomington,IL,1,97891.52904
Danbury,CT,1,190750.3759
Germantown,MD,1,220509.2827
Newport Beach,CA,1,879635.3288
Mission,TX,1,74722.87611
Brooklyn Park,MN,1,108733.8848
Pasco,WA,1,215783.3614
Westland,MI,1,92605.87675
Kirkland,WA,1,412426.2455
Eau Claire,WI,1,190484.8147
Temple,TX,1,132993.8649
Deerfield Beach,FL,1,134859.7932
Apple Valley,CA,1,223598.0395
Middletown,OH,1,77883.70983
Valparaiso,IN,1,166428.2397
Buena Park,CA,1,579111.4209
Decatur,IL,1,42787.76334
Covina,CA,1,512843.6152
Watsonville,CA,1,629408.8676
Camarillo,CA,1,442920.2292
Farmington Hills,MI,1,112903.2763
Arlington Heights,IL,1,151479.5962
Smyrna,GA,1,211753.4654
Mountain View,CA,1,625072.9224
Des Plaines,IL,1,143861.014
Oviedo,FL,1,195581.5208
Alhambra,CA,1,544589.6333
Evanston,IL,1,208044.5859
Cranston,RI,1,255691.6652
Westerville,OH,1,184593.0417
Miami Beach,FL,1,352352.2849
Maryville,TN,1,235938.1102
Upland,CA,1,484186.6823
Carson,CA,1,398144.7257
Schaumburg,IL,1,151417.3229
Lexington,NC,1,134701.8945
Lakewood,CA,1,487079.5437
Sumter,SC,1,59963.92105
Noblesville,IN,1,212863.7245
Turlock,CA,1,278106.9912
Mechanicsburg,PA,1,135928.4304
Pharr,TX,1,78082.13613
Tustin,CA,1,508382.2043
Parma,OH,1,76771.55677
Milpitas,CA,1,625800.2188
Yuba City,CA,1,214565.2573
Lodi,CA,1,270970.5334
Orange Park,FL,1,142419.8242
Bethesda,MD,1,252059.8167
State College,PA,1,203686.5998
Plymouth,MN,1,182110.6149
Marysville,WA,1,342750.6066
Lake Forest,CA,1,436098.7287
Porterville,CA,1,166233.1762
Lake Elsinore,CA,1,306307.2478
Plant City,FL,1,175222.6947
Hoover,AL,1,105654.4026
The Villages,FL,1,237123.178
Somerville,MA,1,579890.0463
Folsom,CA,1,346459.8079
Bellflower,CA,1,575764.2089
Venice,FL,1,256273.0044
Rogers,AR,1,200827.8009
Castle Rock,CO,1,708200.2677
Olympia,WA,1,369403.1367
Conway,SC,1,145632.5032
Winter Park,FL,1,167941.3858
Tulare,CA,1,176583.8687
Redlands,CA,1,375041.9523
Bozeman,MT,1,518926.8814
Winchester,VA,1,216479.4227
Glen Allen,VA,1,189409.3543
Springfield,OR,1,293982.8977
Spring Valley,CA,1,428466.4745
Jupiter,FL,1,322939.7857
La Mesa,CA,1,412140.0732
Racine,WI,1,109751.4254
Hagerstown,MD,1,135247.5969
Rochester Hills,MI,1,142758.2644
Southfield,MI,1,97503.92057
White Plains,NY,1,266853.4421
Binghamton,NY,1,82758.72222
Saint Joseph,MO,1,55455.54301
Bremerton,WA,1,310236.9868
Buford,GA,1,216405.4339
Milton,FL,1,141821.2673
New Rochelle,NY,1,191662.2434
Pawtucket,RI,1,232383.592
Hot Springs,AR,1,161755.7477
Chino Hills,CA,1,450092.682
New Britain,CT,1,97447.86171
Ewa Beach,HI,1,393416.5001
Caldwell,ID,1,258170.1292
Gary,IN,1,42168.23159
Palm Beach Gardens,FL,1,236307.9818
Petaluma,CA,1,580973.1517
Great Falls,MT,1,166728.3164
Woodbury,MN,1,209760.4349
Warwick,RI,1,227213.8965
South Jordan,UT,1,320344.4523
Davis,CA,1,503755.2024
North Port,FL,1,164478.2622
Lauderhill,FL,1,110383.9247
Aiken,SC,1,192805.5109
Huntington,WV,1,49252.59879
Columbus,IN,1,119559.6093
Broomfield,CO,1,367713.977
Waipahu,HI,1,385771.4056
Palm Harbor,FL,1,186052.3671
Mount Vernon,NY,1,171857.5626
Brick,NJ,1,235578.8881
Kokomo,IN,1,51113.51091
Baldwin Park,CA,1,480216.2432
Sanford,NC,1,147565.1228
Traverse City,MI,1,310637.3899
Clayton,NC,1,181817.2298
Daytona Beach,FL,1,162174.5329
Deland,FL,1,167031.45
Grants Pass,OR,1,265404.2402
San Rafael,CA,1,493795.0646
Bossier City,LA,1,85854.86582
Casper,WY,1,146468.395
Framingham,MA,1,231292.7846
Council Bluffs,IA,1,98721.18483
Harrisonburg,VA,1,212723.8993
Corvallis,OR,1,323285.7161
Statesville,NC,1,152545.3134
Yorba Linda,CA,1,405426.6019
Auburn,AL,1,173954.7244
Maple Grove,MN,1,214762.2128
Waterloo,IA,1,61875.07925
Hickory,NC,1,136658.4461
Winter Garden,FL,1,205013.7776
Lutz,FL,1,184628.6208
Hanford,CA,1,171471.8265
Saint Cloud,MN,1,139566.4997
Palatine,IL,1,140392.5932
Dubuque,IA,1,114349.3848
Huntington Park,CA,1,476186.4171
Davenport,FL,1,182956.3516
Tamarac,FL,1,136806.9171
Snohomish,WA,1,562858.6704
Hammond,IN,1,96041.94708
Centreville,VA,1,271441.3863
Waterford,MI,1,126419.6712
Lakewood,WA,1,288704.1611
Blaine,MN,1,275342.4615
Redondo Beach,CA,1,741395.4528
Palo Alto,CA,1,950157.4136
East Orange,NJ,1,189882.8218
Jefferson City,MO,1,112475.4243
Alameda,CA,1,545729.2999
Norristown,PA,1,187717.8861
Spring Valley,NY,1,174849.9297
Eagan,MN,1,164840.5524
Portland,ME,1,413085.8702
Union City,CA,1,455637.507
Woodland,CA,1,353144.5115
Cocoa,FL,1,91876.18343
Littleton,CO,1,324268.6771
Waukesha,WI,1,156925.7805
Easley,SC,1,139831.2528
Salisbury,MD,1,128402.6006
Huntsville,TX,1,125910.6581
Union City,NJ,1,270889.5926
Bellevue,NE,1,214747.2117
Haverhill,MA,1,245195.7527
Massillon,OH,1,81161.50293
Shawnee,KS,1,158294.6982
Doral,FL,1,272930.3298
Lynwood,CA,1,482669.4622
Vienna,VA,1,304466.3118
Tigard,OR,1,247686.5105
Oshkosh,WI,1,128923.7646
Grove City,OH,1,128491.0289
Weston,FL,1,262697.1927
Manhattan,KS,1,123050.549
West Bloomfield,MI,1,375531.9282
Gilroy,CA,1,504166.7974
Middletown,NY,1,168154.7461
Vineland,NJ,1,162561.3552
Lorain,OH,1,64479.69002
Pocatello,ID,1,187188.8541
Bluffton,SC,1,418412.3289
Malden,MA,1,365940.8146
Pottstown,PA,1,193427.8974
West Des Moines,IA,1,142292.4602
Orland Park,IL,1,153212.6731
Brunswick,GA,1,103196.169
Port Orange,FL,1,170255.6689
Albany,OR,1,270736.5144
Sammamish,WA,1,432280.29
Carson City,NV,1,257657.0825
Prescott,AZ,1,317721.4437
Reston,VA,1,288472.7209
West Hartford,CT,1,160041.6329
Statesboro,GA,1,126551.7081
Waltham,MA,1,396677.6855
Florence-Graham,CA,1,410765.765
South San Francisco,CA,1,617050.8741
Mansfield,OH,1,46119.09338
San Luis Obispo,CA,1,635038.2396
La Crosse,WI,1,138956.7244
Towson,MD,1,190465.2762
Burnsville,MN,1,114936.3288
Fountainbleau,FL,1,227005.7216
Valley Stream,NY,1,357359.4027
Biloxi,MS,1,133042.3472
Laguna Niguel,CA,1,499714.6272
Niagara Falls,NY,1,88570.04839
Dublin,CA,1,509019.944
Cartersville,GA,1,167347.2541
Eden Prairie,MN,1,209671.8612
Goldsboro,NC,1,103544.1136
Coon Rapids,MN,1,217888.3413
San Gabriel,CA,1,690943.3423
Taylor,MI,1,86346.32127
Port Orchard,WA,1,383126.8517
Martinsburg,WV,1,144340.2899
Brookline,MA,1,563874.8228
Fond du Lac,WI,1,106022.6402
Hendersonville,NC,1,212364.5519
North Bergen Township,NJ,1,257533.7699
Ankeny,IA,1,268252.2627
Youngstown,OH,1,25566.45006
Dearborn Heights,MI,1,70718.44463
Elyria,OH,1,71646.51117
Stuart,FL,1,156616.0637
Skokie,IL,1,170463.7118
Montebello,CA,1,449499.3034
Panama City,FL,1,158176.488
Monroe,NY,1,205995.5772
La Habra,CA,1,407565.9601
Lancaster,OH,1,93533.45354
Medford,MA,1,438648.2171
Altamonte Springs,FL,1,149768.7863
Downers Grove,IL,1,148145.2323
Novato,CA,1,462729.9835
Pontiac,MI,1,79659.01317
Fairbanks,AK,1,157763.9985
Encinitas,CA,1,877727.3573
San Clemente,CA,1,586940.8622
Wellington,FL,1,281447.6273
Meridian,MS,1,35875.83157
Greenwich,CT,1,472307.2539
Hamden,CT,1,145193.3637
Grand Forks,ND,1,125224.1113
Gardena,CA,1,394013.7234
Azusa,CA,1,426872.2756
Monterey Park,CA,1,475866.7725
Dublin,OH,1,179117.4694
Mishawaka,IN,1,99892.4268
Bristol,CT,1,134105.4624
Chantilly,VA,1,312172.2493
Joplin,MO,1,66826.56203
Taylorsville,UT,1,260435.1195
Saint Peters,MO,1,115972.0849
Fairfield,CT,1,329433.18
West Allis,WI,1,153415.105
Petersburg,VA,1,107750.5849
New Castle,DE,1,143734.6626
Carrollton,GA,1,155078.7641
Lima,OH,1,52676.55267
Griffin,GA,1,96331.21086
Richland,WA,1,230744.495
North Miami,FL,1,184265.4443
Lansdale,PA,1,195881.7097
Meriden,CT,1,93809.43024
Hoboken,NJ,1,552557.0427
Rosemead,CA,1,626238.3546
Manchester,CT,1,100923.8035
Lompoc,CA,1,363611.8474
Coeur d'Alene,ID,1,468083.8106
Helena,MT,1,289239.1711
Farmington,NM,1,148879.9718
Covington,LA,1,140661.4753
Oak Lawn,IL,1,112537.2291
Loveland,OH,1,163137.5446
Wheaton,IL,1,190393.7244
Taunton,MA,1,247088.1451
Edmonds,WA,1,434161.8998
Danville,VA,1,39741.97156
Annandale,VA,1,207484.1562
Bayonne,NJ,1,247896.9309
Lake Havasu City,AZ,1,206709.6783
Goshen,IN,1,126731.7984
Kalispell,MT,1,394758.911
Wilson,NC,1,45444.82593
Ormond Beach,FL,1,204658.4431
Royal Oak,MI,1,136528.2816
McLean,VA,1,314824.6525
Paducah,KY,1,81842.86066
Cupertino,CA,1,813977.5479
Kernersville,NC,1,118259.1212
National City,CA,1,361560.9398
Stillwater,OK,1,124499.545
The Hammocks,FL,1,228337.3645
Mount Prospect,IL,1,147487.757
Punta Gorda,FL,1,212024.0874
Blacksburg,VA,1,200052.4996
Newark,OH,1,114152.4259
Freehold,NJ,1,192665.2597
Apache Junction,AZ,1,173920.3287
Margate,FL,1,115716.3705
Chillicothe,OH,1,109736.8327
Jackson,NJ,1,220184.8078
Castro Valley,CA,1,640286.7068
Titusville,FL,1,130788.9542
Leesburg,FL,1,88112.64956
Princeton,NJ,1,345602.5128
Glenview,IL,1,159895.9796
Kingman,AZ,1,126329.5586
Kettering,OH,1,105872.6831
Midwest City,OK,1,95433.05688
Colton,CA,1,253082.2298
Berwyn,IL,1,122019.222
Burlington,NC,1,101080.8943
Fountain Valley,CA,1,447218.4282
Oregon City,OR,1,368837.999
Bonita Springs,FL,1,339951.7194
Warren,OH,1,45187.51416
Weymouth,MA,1,291819.2847
Coconut Creek,FL,1,174660.7808
Roswell,NM,1,89916.08404
Shoreline,WA,1,305733.4718
Hanover,PA,1,135081.8331
